Source Target Weight
Start KFC 4182
Start BurgerKing 796
Start Subway 4701
Start McDonalds 4214
Start TacoBell 910
Start Starbucks 4761
Start PizzaHut 3939
Start OldWildWest 3532
Start DominosPizza 759
Start PandaExpress 5596
Start TimHortons 1645
Start JackInTheBox 1602
Start ShakeShack 491
Start ChipotleMexicanGrill 4888
Start A 2431
Start B 1480
Start C 48
Start D 430
Start E 1625
Start F 4569
Start G 5239
Start H 3867
Start I 3208
Start L 5687
Start M 5291
Start N 3017
Start O 2135
Start P 492
Start Q 107
Start R 4197
Start S 4298
Start T 2843
Start U 705
Start V 3412
Start Z 2765
Start X 5171
Start Y 4235
Start J 5574
Start AB 3426
Start AC 4907
Start AD 2703
Start AE 1048
Start AF 5389
Start AG 2569
Start AH 2349
Start AI 5653
Start AL 4497
Start AM 4228
Start AN 554
Start AO 2666
Start AP 4084
Start AQ 1358
Start AR 4824
Start AS 302
Start AT 598
Start AU 1627
Start AV 4905
Start AZ 4401
Start AX 3359
Start AY 2341
Start AJ 835
KFC BurgerKing 1624
KFC Subway 5065
KFC McDonalds 1610
KFC TacoBell 2350
KFC Starbucks 1042
KFC PizzaHut 5728
KFC OldWildWest 3910
KFC DominosPizza 4318
KFC PandaExpress 658
KFC TimHortons 5264
KFC JackInTheBox 52
KFC ShakeShack 992
KFC ChipotleMexicanGrill 3071
KFC A 4801
KFC B 2617
KFC C 2284
KFC D 2250
KFC E 2022
KFC F 3675
KFC G 882
KFC H 1490
KFC I 5399
KFC L 279
KFC M 2017
KFC N 4457
KFC O 2907
KFC P 5317
KFC Q 3771
KFC R 1722
KFC S 1292
KFC T 5472
KFC U 5641
KFC V 1006
KFC Z 5902
KFC X 5007
KFC Y 5223
KFC J 198
KFC AB 2250
KFC AC 4724
KFC AD 608
KFC AE 5199
KFC AF 2859
KFC AG 1326
KFC AH 5769
KFC AI 3045
KFC AL 1266
KFC AM 895
KFC AN 5289
KFC AO 459
KFC AP 5265
KFC AQ 5580
KFC AR 5734
KFC AS 2427
KFC AT 4674
KFC AU 1615
KFC AV 3534
KFC AZ 4734
KFC AX 800
KFC AY 2193
KFC AJ 223
BurgerKing Subway 4042
BurgerKing McDonalds 2610
BurgerKing TacoBell 3006
BurgerKing Starbucks 4186
BurgerKing PizzaHut 764
BurgerKing OldWildWest 4705
BurgerKing DominosPizza 5912
BurgerKing PandaExpress 4307
BurgerKing TimHortons 1761
BurgerKing JackInTheBox 1160
BurgerKing ShakeShack 1332
BurgerKing ChipotleMexicanGrill 4660
BurgerKing A 2120
BurgerKing B 765
BurgerKing C 655
BurgerKing D 2789
BurgerKing E 5754
BurgerKing F 3415
BurgerKing G 3334
BurgerKing H 5962
BurgerKing I 3098
BurgerKing L 1508
BurgerKing M 4104
BurgerKing N 2332
BurgerKing O 4497
BurgerKing P 1790
BurgerKing Q 1371
BurgerKing R 2010
BurgerKing S 5390
BurgerKing T 1
BurgerKing U 4463
BurgerKing V 2232
BurgerKing Z 3421
BurgerKing X 3187
BurgerKing Y 3446
BurgerKing J 1127
BurgerKing AB 5575
BurgerKing AC 2495
BurgerKing AD 4361
BurgerKing AE 3747
BurgerKing AF 3336
BurgerKing AG 4712
BurgerKing AH 5392
BurgerKing AI 3313
BurgerKing AL 1626
BurgerKing AM 4385
BurgerKing AN 5602
BurgerKing AO 1307
BurgerKing AP 4387
BurgerKing AQ 239
BurgerKing AR 1081
BurgerKing AS 4688
BurgerKing AT 3496
BurgerKing AU 109
BurgerKing AV 2063
BurgerKing AZ 2811
BurgerKing AX 594
BurgerKing AY 1111
BurgerKing AJ 4514
Subway McDonalds 3464
Subway TacoBell 3951
Subway Starbucks 4640
Subway PizzaHut 5285
Subway OldWildWest 1961
Subway DominosPizza 1611
Subway PandaExpress 531
Subway TimHortons 3033
Subway JackInTheBox 423
Subway ShakeShack 5360
Subway ChipotleMexicanGrill 1258
Subway A 710
Subway B 5508
Subway C 1090
Subway D 3017
Subway E 2990
Subway F 3567
Subway G 1666
Subway H 5565
Subway I 4512
Subway L 4173
Subway M 2687
Subway N 324
Subway O 2654
Subway P 1736
Subway Q 5462
Subway R 2300
Subway S 2751
Subway T 4751
Subway U 5561
Subway V 2536
Subway Z 1587
Subway X 2224
Subway Y 5530
Subway J 2587
Subway AB 2378
Subway AC 3157
Subway AD 5369
Subway AE 229
Subway AF 2543
Subway AG 240
Subway AH 1738
Subway AI 1705
Subway AL 2853
Subway AM 1331
Subway AN 2024
Subway AO 3634
Subway AP 1623
Subway AQ 3673
Subway AR 2867
Subway AS 3362
Subway AT 3918
Subway AU 1993
Subway AV 2044
Subway AZ 3985
Subway AX 2396
Subway AY 3997
Subway AJ 2822
McDonalds TacoBell 4232
McDonalds Starbucks 3284
McDonalds PizzaHut 535
McDonalds OldWildWest 2240
McDonalds DominosPizza 539
McDonalds PandaExpress 5591
McDonalds TimHortons 3401
McDonalds JackInTheBox 521
McDonalds ShakeShack 2163
McDonalds ChipotleMexicanGrill 2051
McDonalds A 1289
McDonalds B 288
McDonalds C 3228
McDonalds D 4218
McDonalds E 4019
McDonalds F 1438
McDonalds G 5304
McDonalds H 1950
McDonalds I 5729
McDonalds L 3659
McDonalds M 3309
McDonalds N 231
McDonalds O 5880
McDonalds P 4216
McDonalds Q 3478
McDonalds R 4177
McDonalds S 5399
McDonalds T 3343
McDonalds U 184
